0,133,134,1666
1667,1811,1812,3412
3413,3525,3526,4427
4428,4521,4522,5167
5168,5317,5318,6160
6161,6244,6245,6642
6643,6743,6744,7649
7650,7752,7753,8869
8870,8921,8922,10117
10118,10191,10192,10508
10509,10661,10662,11423
11424,11538,11539,12656
12657,12860,12861,13812
13813,14182,14183,14737
14738,14845,14846,15119
15120,15256,15257,15606
15607,15684,15685,17036
17037,17144,17145,21756
21757,21850,21851,22697
22698,22735,22736,23607
23608,23745,23746,24489
24490,24591,24592,25140
25141,25225,25226,26133
26134,26244,26245,26778
26779,26889,26890,28172
28173,28287,28288,28955
28956,29086,29087,29384
29385,29585,29586,30167
30168,30249,30250,32585
32586,32667,32668,32928
32929,33011,33012,34053
34054,34113,34114,35232
35233,35327,35328,37628
37629,37714,37715,38493
38494,38522,38523,40607
40608,40679,40680,42390
42391,42483,42484,44038
44039,44111,44112,44432
44433,44500,44501,45907
45908,45972,45973,46666
46667,46774,46775,47791
47792,47880,47881,50053
